"9г","9у","9ф"
"","",""
"понедельник:","понедельник:","понедельник:"
"Физическая культура","Физическая культура","Физическая культура"
"Физическая культура","Физическая культура","Физическая культура"
"Алгебра","Физика","АлгебраИлясова, Физпрак"
"Англ.яз.Чернявская, Англ.яз.Щербачева","Алгебра","АлгебраИлясова, Физпрак"
"ИнформатикаФилатова, ИнформатикаШереметьев","Русский язык","Физпрак, Геометрия"
"Испан.яз.Кулиш, Нем.яз.Герасимова","Русский язык","Физпрак, Геометрия"
"Литература","Геометрия","МатмодЛебо, АлгебраЗубкова"
"","","МатмодЛебо, АлгебраЗубкова"
"","","Профангл.яз."
"вторник:","вторник:","вторник:"
"История","Англ.яз.Родина, Анг.яз.Марченко","Англ.яз.Петросян"
"Русский язык","Англ.яз.Родина, Анг.яз.Марченко","Обществознание"
"Геометрия","Химия","ИнформатикаЛебо, Англ.яз.Марченко"
"Русский язык","География","ИнформатикаЛебо, Геометрия"
"Англ.яз.Чернявская, Англ.яз.Щербачева","История","География"
"Англ.яз.Чернявская, Англ.яз.Щербачева","Алгебра","Биология"
"","","Физика, ИнформатикаЖиткова"
"","","Физика, ИнформатикаЖиткова"
"cреда:","cреда:","cреда:"
"Биология","","Англ.яз.Петросян, Англ.яз.Марченко"
"Русский язык","Физика","Англ.яз.Петросян, Англ.яз.Марченко"
"Испан.яз.Кулиш, Нем.яз.Герасимова","Литература","Химпрак, Физика"
"Обществознание","Биология","Химпрак, Физика"
"Химия","Обществознание","Спецхимия, Химпрак"
"Литература","Биология","Спецхимия, Химпрак"
"","ИнформатикаЖиткова, ИнформатикаРайкова","Химия"
"","","Химия"
"четверг:","четверг:","четверг:"
"География","Алгебра","Русский язык"
"География","Алгебра","Русский язык"
"Алгебра","История","Геометрия, Физика"
"Геометрия","Русский язык","Геометрия, Физика"
"Физика","География","История"
"Физика","География","История"
"Биология","","Физика, АлгебраЗубкова"
"","","Физика, АлгебраЗубкова"
"пятница:","пятница:","пятница:"
"Обществознание","","Русский язык"
"История","Алгебра","Литература"
"Химия","Обществознание","Биология"
"Литература","Химия","География"
"Англ.яз.Чернявская, Англ.яз.Щербачева","Англ.яз.Родина, Анг.яз.Марченко","Физика (Лукьянов)"
"Алгебра","Литература","Физика (Лукьянов)"
"Алгебра","Литература","Геометрия, Спецхимия"
"",""," ----, Спецхимия"
"суббота:","суббота:","суббота:"
"","","Литература"
"","","Литература"
"","","АлгебраИлясова, Спецфизика"
"","","АлгебраИлясова, Спецфизика"
"","","Спецфизика, Комбинаторика"
"","","Спецфизика, Комбинаторика"
"","","Комбинаторика, Матмод"
"","","Комбинаторика, Матмод"
